Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	72.29	52 K	8 K	0		
System	2.86	156 K	72 K	4		
 Interrupts	1.24	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		476 K	1,172 K	292		
 Memory Compression		152 K	9,264 K	1252		
csrss.exe		1,584 K	4,748 K	388		
wininit.exe		1,260 K	6,128 K	460		
 services.exe		4,308 K	8,764 K	536		
  svchost.exe		932 K	3,756 K	772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		9,716 K	24,732 K	796	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	40,124 K	89,344 K	4144	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	137,816 K	206,920 K	3396	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		4,248 K	22,772 K	5020	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		8,080 K	32,336 K	5164	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,844 K	10,440 K	5516	Microsoft Skype	Microsoft Corporation
   dllhost.exe		3,760 K	10,720 K	6600	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		12,624 K	39,284 K	3740	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe	0.07	8,776 K	28,472 K	2004	Application Frame Host	Microsoft Corporation
   PaintStudio.View.exe	Suspended	50,848 K	54,152 K	3524		
   RuntimeBroker.exe		3,648 K	10,768 K	6996	Runtime Broker	Microsoft Corporation
   smartscreen.exe		16,944 K	30,432 K	6840	Windows Defender SmartScreen	Microsoft Corporation
   WmiPrvSE.exe		2,452 K	8,680 K	1684		
   backgroundTaskHost.exe	Suspended	5,596 K	21,604 K	4556	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe	0.03	5,676 K	22,188 K	4792	Runtime Broker	Microsoft Corporation
   dllhost.exe		1,596 K	6,536 K	3788	COM Surrogate	Microsoft Corporation
  svchost.exe	0.05	6,268 K	11,876 K	844	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,032 K	6,924 K	900	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,140 K	9,408 K	324	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,960 K	10,940 K	360	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		15,976 K	17,120 K	524	Host Process for Windows Services	Microsoft Corporation
